what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429785236352
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429785346647
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1429785349384
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429785364372
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429785366605
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1429785366611
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429785372162
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429785374030
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1429785374034
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429785385544
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429785396697
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1429785397521
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1429785397606
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1429785398431
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429785402062
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.1.v201201112313,"org.eclipse.wst.jsdt.debug.rhino.ui",1429785402734
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429785402935
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429785403011
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429785404938
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1429785408557
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1429785408728
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1429785408929
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1429785411284
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1429785412430
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1429785416842
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1429785418782
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1429785420033
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1429785420034
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429785423454
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429785482326
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1429785489326
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429785492628
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429785495625
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429785495666
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429785497105
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429785501169
error,log,,,"Several ports (8005, 8080, 8009) required by Tomcat v7.0 Server at localhost are already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1429785532312
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1429785533143
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429785533211
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1429785533301
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429785548888
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429785657537
